"","Track","Round","Constructor","Points"
"1","Bahrain",1,"Red Bull Racing Honda RBPT",44
"2","Bahrain",1,"Ferrari",27
"3","Bahrain",1,"Mercedes",16
"4","Bahrain",1,"McLaren Mercedes",12
"5","Bahrain",1,"Aston Martin Aramco Mercedes",3
"6","Bahrain",1,"Kick Sauber Ferrari",0
"7","Bahrain",1,"Haas Ferrari",0
"8","Bahrain",1,"RB Honda RBPT",0
"9","Bahrain",1,"Williams Mercedes",0
"10","Bahrain",1,"Alpine Renault",0
"11","Saudi Arabia",2,"Red Bull Racing Honda RBPT",43
"12","Saudi Arabia",2,"Ferrari",22
"13","Saudi Arabia",2,"Mercedes",10
"14","Saudi Arabia",2,"McLaren Mercedes",16
"15","Saudi Arabia",2,"Aston Martin Aramco Mercedes",10
"16","Saudi Arabia",2,"Kick Sauber Ferrari",0
"17","Saudi Arabia",2,"Haas Ferrari",1
"18","Saudi Arabia",2,"RB Honda RBPT",0
"19","Saudi Arabia",2,"Williams Mercedes",0
"20","Saudi Arabia",2,"Alpine Renault",0
"21","Australia",3,"Red Bull Racing Honda RBPT",10
"22","Australia",3,"Ferrari",44
"23","Australia",3,"Mercedes",0
"24","Australia",3,"McLaren Mercedes",27
"25","Australia",3,"Aston Martin Aramco Mercedes",12
"26","Australia",3,"Kick Sauber Ferrari",0
"27","Australia",3,"Haas Ferrari",3
"28","Australia",3,"RB Honda RBPT",6
"29","Australia",3,"Williams Mercedes",0
"30","Australia",3,"Alpine Renault",0
"31","Japan",4,"Red Bull Racing Honda RBPT",44
"32","Japan",4,"Ferrari",27
"33","Japan",4,"Mercedes",8
"34","Japan",4,"McLaren Mercedes",14
"35","Japan",4,"Aston Martin Aramco Mercedes",8
"36","Japan",4,"Kick Sauber Ferrari",0
"37","Japan",4,"Haas Ferrari",0
"38","Japan",4,"RB Honda RBPT",1
"39","Japan",4,"Williams Mercedes",0
"40","Japan",4,"Alpine Renault",0
"41","China",5,"Red Bull Racing Honda RBPT",40
"42","China",5,"Ferrari",22
"43","China",5,"Mercedes",10
"44","China",5,"McLaren Mercedes",22
"45","China",5,"Aston Martin Aramco Mercedes",7
"46","China",5,"Kick Sauber Ferrari",0
"47","China",5,"Haas Ferrari",1
"48","China",5,"RB Honda RBPT",0
"49","China",5,"Williams Mercedes",0
"50","China",5,"Alpine Renault",0
"51","Miami",6,"Red Bull Racing Honda RBPT",30
"52","Miami",6,"Ferrari",25
"53","Miami",6,"Mercedes",12
"54","Miami",6,"McLaren Mercedes",25
"55","Miami",6,"Aston Martin Aramco Mercedes",2
"56","Miami",6,"Kick Sauber Ferrari",0
"57","Miami",6,"Haas Ferrari",0
"58","Miami",6,"RB Honda RBPT",6
"59","Miami",6,"Williams Mercedes",0
"60","Miami",6,"Alpine Renault",1
"61","Emilia Romagna",7,"Red Bull Racing Honda RBPT",29
"62","Emilia Romagna",7,"Ferrari",25
"63","Emilia Romagna",7,"Mercedes",15
"64","Emilia Romagna",7,"McLaren Mercedes",30
"65","Emilia Romagna",7,"Aston Martin Aramco Mercedes",2
"66","Emilia Romagna",7,"Kick Sauber Ferrari",0
"67","Emilia Romagna",7,"Haas Ferrari",0
"68","Emilia Romagna",7,"RB Honda RBPT",1
"69","Emilia Romagna",7,"Williams Mercedes",0
"70","Emilia Romagna",7,"Alpine Renault",0
"71","Monaco",8,"Red Bull Racing Honda RBPT",8
"72","Monaco",8,"Ferrari",40
"73","Monaco",8,"Mercedes",17
"74","Monaco",8,"McLaren Mercedes",30
"75","Monaco",8,"Aston Martin Aramco Mercedes",0
"76","Monaco",8,"Kick Sauber Ferrari",0
